epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.324,1.24057,3.31103,1.25117,0.43974,0.53809,0.46765,0.34548,1.00351,1.89606,1.10502,5.716e-05,5.716e-05,5.716e-05
2,298.501,0.88663,1.54977,1.06514,0.58864,0.82504,0.78844,0.63499,0.73441,1.31735,1.03364,0.000126064,0.000126064,0.000126064
3,410.733,0.89996,1.26538,1.09457,0.80942,0.83296,0.89715,0.71268,0.81568,1.21964,0.99877,0.000192138,0.000192138,0.000192138
4,485.569,0.79821,0.8586,0.9759,0.89458,0.86509,0.92328,0.72932,0.79509,0.95817,0.99606,0.000255382,0.000255382,0.000255382
5,565.473,0.79202,0.87055,0.98978,0.8417,0.87978,0.92461,0.74394,0.74897,1.38606,0.94734,0.000315798,0.000315798,0.000315798
6,641.586,0.84336,0.72183,0.99546,0.7944,0.8763,0.92893,0.75735,0.77238,0.99012,0.96023,0.000373383,0.000373383,0.000373383
7,717.121,0.77895,0.72526,0.98816,0.77398,0.87732,0.93638,0.73233,0.82077,1.57111,0.97583,0.00042814,0.00042814,0.00042814
8,793.436,0.78258,0.72034,1.00284,0.84151,0.87772,0.87082,0.69622,0.8158,1.00484,0.99179,0.000480067,0.000480067,0.000480067
9,872.793,0.76806,0.7296,0.94948,0.87328,0.85337,0.89787,0.70816,0.80878,1.15183,0.97565,0.000529164,0.000529164,0.000529164
10,952.031,0.77444,0.69131,0.97906,0.83112,0.87416,0.89078,0.71358,0.80516,1.15414,0.9998,0.000575433,0.000575433,0.000575433
11,1031.9,0.76683,0.68611,0.98752,0.86927,0.96301,0.9095,0.72689,0.76088,1.01451,0.9722,0.000618871,0.000618871,0.000618871
12,1107.69,0.78018,0.6745,0.97398,0.89707,0.91689,0.90798,0.72735,0.78949,0.8427,0.98226,0.000659481,0.000659481,0.000659481
13,1182.02,0.78732,0.61509,0.97413,0.91181,0.93019,0.94023,0.76532,0.73419,0.8123,0.96295,0.000697261,0.000697261,0.000697261
14,1257.51,0.77945,0.59845,0.98407,0.93231,0.93799,0.94987,0.77474,0.73029,0.69162,0.96269,0.000732211,0.000732211,0.000732211
15,1333.22,0.76339,0.61902,0.97635,0.92597,0.90545,0.95157,0.79153,0.67451,0.69957,0.93812,0.000764332,0.000764332,0.000764332
16,1411.87,0.75136,0.55756,0.9693,0.92389,0.90022,0.94088,0.77347,0.71387,0.64081,0.94817,0.000793624,0.000793624,0.000793624
17,1489.89,0.79457,0.63821,1.03767,0.94766,0.91411,0.94399,0.7566,0.77225,0.71478,0.98285,0.000820086,0.000820086,0.000820086
18,1564.21,0.78746,0.61311,0.98773,0.93772,0.91017,0.96008,0.7672,0.77311,0.69653,0.98826,0.000843719,0.000843719,0.000843719
19,1634.12,0.72975,0.54316,0.98789,0.88083,0.89187,0.94064,0.75031,0.79141,0.72434,0.99404,0.000864522,0.000864522,0.000864522
20,1701.79,0.75217,0.60726,0.97377,0.92566,0.92682,0.95756,0.77637,0.76741,0.66744,0.96977,0.000882496,0.000882496,0.000882496
21,1770,0.79601,0.70429,0.99965,0.88223,0.89641,0.94094,0.7423,0.83527,0.68015,1.00598,0.000863116,0.000863116,0.000863116
22,1837.43,0.77813,0.61665,1.03038,0.93405,0.94964,0.96784,0.77187,0.77583,0.59536,0.98237,0.000834822,0.000834822,0.000834822
23,1904.44,0.74645,0.57897,0.99661,0.96339,0.95738,0.97178,0.79813,0.7067,0.54405,0.96102,0.000806528,0.000806528,0.000806528
24,1972.08,0.72128,0.59939,0.98819,0.95136,0.97339,0.97699,0.82,0.6704,0.54566,0.94854,0.000778233,0.000778233,0.000778233
25,2041.09,0.72386,0.5829,0.97376,0.93678,0.95661,0.97375,0.80295,0.7024,0.59993,0.97362,0.000749939,0.000749939,0.000749939
26,2108.69,0.72939,0.54342,0.98664,0.96692,0.94217,0.96803,0.80194,0.68606,0.58098,0.97067,0.000721645,0.000721645,0.000721645
27,2176.32,0.6988,0.58308,0.98564,0.97354,0.94898,0.97382,0.81654,0.68793,0.54783,0.97314,0.000693351,0.000693351,0.000693351
28,2244.21,0.67914,0.50801,0.99982,0.97313,0.97942,0.97426,0.8263,0.63842,0.48655,0.93717,0.000665057,0.000665057,0.000665057
29,2311.79,0.69611,0.49551,0.94873,0.96962,0.97144,0.97474,0.81045,0.70626,0.49336,0.96508,0.000636762,0.000636762,0.000636762
30,2378.94,0.66811,0.50975,0.96442,0.96029,0.96916,0.97606,0.79523,0.76082,0.51876,0.9892,0.000608468,0.000608468,0.000608468
31,2446.75,0.68567,0.47078,0.96183,0.96363,0.96817,0.97502,0.80777,0.70984,0.49885,0.96783,0.000580174,0.000580174,0.000580174
32,2516.45,0.7207,0.53742,1.00022,0.96459,0.96921,0.98096,0.81966,0.67887,0.46075,0.94977,0.00055188,0.00055188,0.00055188
33,2574.26,0.69247,0.47804,0.96977,0.96876,0.9674,0.97822,0.80217,0.72754,0.47957,0.96899,0.000523586,0.000523586,0.000523586
34,2629.16,0.65576,0.46669,0.94985,0.96376,0.97318,0.97851,0.80601,0.71329,0.47054,0.95529,0.000495291,0.000495291,0.000495291
35,2682.85,0.6809,0.49022,0.99836,0.97281,0.96516,0.97673,0.80347,0.71319,0.46116,0.95088,0.000466997,0.000466997,0.000466997
36,2742.69,0.70141,0.45721,0.95837,0.97565,0.97376,0.98032,0.83779,0.6206,0.42453,0.91129,0.000438703,0.000438703,0.000438703
37,2801.13,0.71314,0.45402,0.98143,0.97324,0.97531,0.98737,0.85456,0.59417,0.39843,0.8996,0.000410409,0.000410409,0.000410409
38,2860.03,0.67497,0.4564,0.95469,0.96908,0.97711,0.98854,0.85357,0.60224,0.39541,0.90401,0.000382115,0.000382115,0.000382115
39,2918.91,0.67349,0.44534,0.9838,0.97446,0.97531,0.99012,0.84561,0.63251,0.40545,0.91815,0.00035382,0.00035382,0.00035382
