epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71145,1.32241,3.32605,1.25286,0.25918,0.16117,0.1417,0.0925,1.18762,3.40067,1.16533,5.716e-05,5.716e-05,5.716e-05
2,5.14273,1.08383,2.58579,1.17331,0.77544,0.65504,0.75942,0.6076,0.77435,1.26585,1.02997,0.000126064,0.000126064,0.000126064
3,7.77424,0.89659,1.33338,1.05297,0.70667,0.70527,0.73394,0.58745,0.75125,1.27568,1.01749,0.000192138,0.000192138,0.000192138
4,10.3887,0.82243,1.00402,1.03617,0.83527,0.8509,0.88108,0.71511,0.74729,0.99805,1.01721,0.000255382,0.000255382,0.000255382
5,13.0054,0.86492,1.05011,1.05842,0.85159,0.86727,0.90174,0.75397,0.69608,1.01234,0.97058,0.000315798,0.000315798,0.000315798
6,15.6167,0.8367,0.92673,1.01865,0.87019,0.94306,0.93649,0.75401,0.76286,0.93291,0.99505,0.000373383,0.000373383,0.000373383
7,18.1994,0.87083,0.90105,1.09136,0.88017,0.92727,0.90895,0.74851,0.716,0.95269,0.96072,0.00042814,0.00042814,0.00042814
8,20.7571,0.82636,0.8117,1.01443,0.76986,0.88333,0.89589,0.71137,0.72962,1.23868,0.98489,0.000480067,0.000480067,0.000480067
9,23.442,0.81346,0.80203,1.06514,0.77836,0.84453,0.88353,0.72923,0.71437,1.20342,0.99088,0.000529164,0.000529164,0.000529164
10,26.0745,0.8497,0.73561,1.05272,0.8055,0.79465,0.87177,0.70087,0.78459,1.38966,1.02965,0.000575433,0.000575433,0.000575433
11,28.5615,0.85563,0.78649,1.03935,0.8408,0.83654,0.88941,0.6738,0.91613,0.9478,1.10554,0.000618871,0.000618871,0.000618871
12,31.0894,0.84326,0.66276,1.02919,0.80116,0.85646,0.88017,0.70237,0.79891,0.87533,1.00674,0.000659481,0.000659481,0.000659481
13,33.5504,0.77997,0.63602,0.99286,0.84721,0.83904,0.89374,0.71115,0.78044,0.88086,0.99459,0.000697261,0.000697261,0.000697261
14,36.2258,0.76679,0.64179,1.00688,0.90292,0.91316,0.93559,0.73373,0.83494,0.85547,1.00088,0.000732211,0.000732211,0.000732211
15,38.7508,0.84337,0.65079,1.02183,0.87685,0.90799,0.92553,0.74404,0.75772,0.74304,0.96594,0.000764332,0.000764332,0.000764332
16,41.3439,0.80934,0.65089,1.01829,0.87151,0.91185,0.9279,0.75144,0.73796,0.7251,0.95688,0.000793624,0.000793624,0.000793624
17,43.8311,0.85795,0.6625,1.04996,0.90942,0.92133,0.96548,0.76519,0.79831,0.77061,0.9792,0.000820086,0.000820086,0.000820086
18,46.3946,0.81596,0.68226,1.04189,0.92642,0.91427,0.96682,0.78556,0.74908,0.6797,0.95536,0.000843719,0.000843719,0.000843719
19,48.967,0.76609,0.59834,0.97001,0.94611,0.94397,0.96402,0.76573,0.78734,0.6163,0.97207,0.000864522,0.000864522,0.000864522
20,51.485,0.77265,0.59183,0.99365,0.93152,0.93731,0.95722,0.79418,0.69172,0.53361,0.95109,0.000882496,0.000882496,0.000882496
21,54.006,0.7779,0.6228,1.01692,0.90802,0.96006,0.95743,0.79623,0.67944,0.55752,0.94409,0.000863116,0.000863116,0.000863116
22,56.4621,0.77103,0.54457,0.98005,0.92995,0.96959,0.96296,0.77039,0.77207,0.59935,0.9976,0.000834822,0.000834822,0.000834822
23,58.849,0.76162,0.54735,1.02017,0.95232,0.97193,0.97151,0.77746,0.77056,0.5632,0.99066,0.000806528,0.000806528,0.000806528
24,61.3564,0.74403,0.5688,0.99275,0.94069,0.94881,0.96088,0.81493,0.64357,0.54821,0.92187,0.000778233,0.000778233,0.000778233
25,63.824,0.76649,0.55802,1.01069,0.95739,0.94971,0.96644,0.82427,0.63946,0.52519,0.92757,0.000749939,0.000749939,0.000749939
26,66.2214,0.71897,0.52339,0.99634,0.95072,0.96554,0.96545,0.81805,0.65324,0.48553,0.93624,0.000721645,0.000721645,0.000721645
27,68.6125,0.73363,0.50443,0.97651,0.95194,0.97213,0.97,0.80919,0.68413,0.46563,0.94073,0.000693351,0.000693351,0.000693351
28,71.1452,0.72056,0.53763,0.98626,0.931,0.95811,0.98014,0.81997,0.66964,0.48754,0.92465,0.000665057,0.000665057,0.000665057
29,73.94,0.68021,0.51627,0.95269,0.93848,0.96058,0.97962,0.82917,0.63866,0.47771,0.90906,0.000636762,0.000636762,0.000636762
30,76.5823,0.76324,0.52951,1.00949,0.96648,0.95537,0.97443,0.82923,0.63411,0.47328,0.91352,0.000608468,0.000608468,0.000608468
31,79.0484,0.67745,0.5089,0.98743,0.96669,0.95933,0.97048,0.82537,0.6373,0.45165,0.92108,0.000580174,0.000580174,0.000580174
32,81.4954,0.76704,0.56385,1.01799,0.96981,0.96198,0.97319,0.82296,0.63571,0.44118,0.91742,0.00055188,0.00055188,0.00055188
33,83.9647,0.73886,0.50262,0.98285,0.97189,0.95473,0.97348,0.83369,0.61384,0.43198,0.90804,0.000523586,0.000523586,0.000523586
34,86.4445,0.70955,0.49401,0.98668,0.96319,0.97387,0.97855,0.83649,0.62368,0.42028,0.91209,0.000495291,0.000495291,0.000495291
35,88.9339,0.69205,0.45604,0.94633,0.96561,0.97843,0.97879,0.82763,0.65825,0.41996,0.92604,0.000466997,0.000466997,0.000466997
36,91.4096,0.7066,0.48574,0.9718,0.95774,0.97404,0.97587,0.83494,0.60996,0.41415,0.90941,0.000438703,0.000438703,0.000438703
37,93.8235,0.70203,0.47975,0.96532,0.95358,0.99182,0.98082,0.84179,0.58005,0.40051,0.89994,0.000410409,0.000410409,0.000410409
38,96.2799,0.69354,0.45322,0.9507,0.96504,0.98891,0.98641,0.83948,0.59526,0.3975,0.9077,0.000382115,0.000382115,0.000382115
39,98.7068,0.6749,0.44969,0.98356,0.96823,0.99108,0.9893,0.83694,0.60664,0.3924,0.91508,0.00035382,0.00035382,0.00035382
40,101.175,0.71261,0.44277,0.98215,0.97216,0.9954,0.99223,0.857,0.5692,0.36294,0.8981,0.000325526,0.000325526,0.000325526
41,119.099,0.59115,0.41779,0.93694,0.97259,0.99486,0.99229,0.86281,0.55898,0.35642,0.8899,0.000297232,0.000297232,0.000297232
42,121.574,0.58293,0.41467,0.90319,0.97006,0.99177,0.99254,0.86978,0.55925,0.35647,0.88946,0.000268938,0.000268938,0.000268938
43,124.015,0.61132,0.41419,0.90484,0.97323,0.99177,0.99288,0.87441,0.55772,0.35794,0.88885,0.000240644,0.000240644,0.000240644
44,126.482,0.58046,0.40458,0.90551,0.97245,0.99008,0.99337,0.88414,0.53246,0.34824,0.88346,0.000212349,0.000212349,0.000212349
45,128.952,0.56938,0.39063,0.90303,0.98595,0.98002,0.99295,0.88173,0.53195,0.34343,0.88349,0.000184055,0.000184055,0.000184055
46,131.385,0.57305,0.38635,0.89422,0.9841,0.98158,0.99328,0.88522,0.5214,0.33669,0.87756,0.000155761,0.000155761,0.000155761
47,133.795,0.60327,0.41505,0.93304,0.96987,1,0.99324,0.88733,0.51352,0.33301,0.87287,0.000127467,0.000127467,0.000127467
48,136.241,0.56592,0.39495,0.8927,0.97496,0.99931,0.99383,0.89258,0.50514,0.32639,0.86769,9.91726e-05,9.91726e-05,9.91726e-05
