epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9083,1.01828,3.55396,1.03896,0.00626,0.4135,0.07514,0.0577,0.75964,3.49049,0.90529,5.716e-05,5.716e-05,5.716e-05
2,86.0329,0.83518,3.05154,0.93637,0.01135,0.71622,0.16621,0.13448,0.67168,3.36222,0.8643,0.000126064,0.000126064,0.000126064
3,107.424,0.90055,2.14069,1.00023,0.01459,0.93785,0.34947,0.26879,0.755,2.92048,0.8506,0.000192138,0.000192138,0.000192138
4,128.35,0.85652,1.60352,0.92133,0.54969,0.16992,0.45595,0.34826,0.78044,2.66189,0.85538,0.000255382,0.000255382,0.000255382
5,149.261,0.84384,1.41361,0.9596,0.87755,0.20384,0.63421,0.50356,0.74294,2.47487,0.84364,0.000315798,0.000315798,0.000315798
6,172.959,0.87353,1.30326,0.92372,0.84953,0.36455,0.75966,0.59428,0.71685,2.3425,0.84089,0.000373383,0.000373383,0.000373383
7,200.196,0.81871,1.24052,0.91855,0.89458,0.54099,0.82097,0.6369,0.7747,2.20011,0.84916,0.00042814,0.00042814,0.00042814
8,228.533,0.78159,1.06909,0.91429,0.8364,0.58732,0.74444,0.6,0.75159,2.18821,0.85363,0.000480067,0.000480067,0.000480067
9,251.015,0.78812,0.96458,0.89807,0.97187,0.5648,0.90439,0.73384,0.75228,2.1677,0.86608,0.000529164,0.000529164,0.000529164
10,273.921,0.8127,0.93483,0.92636,0.94196,0.56155,0.92763,0.74076,0.76421,2.04079,0.87811,0.000575433,0.000575433,0.000575433
11,297.494,0.76943,0.93305,0.93297,0.88874,0.56112,0.91175,0.73028,0.76845,1.99252,0.88025,0.000618871,0.000618871,0.000618871
12,321.257,0.8028,0.91139,0.92556,0.90399,0.60517,0.88969,0.73215,0.76056,1.92567,0.87224,0.000659481,0.000659481,0.000659481
13,344.899,0.79249,0.94487,0.92191,0.90155,0.66791,0.92541,0.75785,0.72098,1.80155,0.86615,0.000697261,0.000697261,0.000697261
14,368.48,0.79389,0.87784,0.91769,0.91238,0.86254,0.9503,0.77922,0.71894,1.45538,0.87631,0.000732211,0.000732211,0.000732211
15,391.563,0.77323,0.84066,0.9161,0.89012,0.88606,0.94241,0.76605,0.72697,1.36493,0.87151,0.000764332,0.000764332,0.000764332
16,414.867,0.7728,0.79028,0.90476,0.90222,0.83101,0.94135,0.77517,0.71629,1.38349,0.86454,0.000793624,0.000793624,0.000793624
17,438.629,0.79338,0.86467,0.9568,0.91832,0.78353,0.93,0.76649,0.70732,1.53226,0.85416,0.000820086,0.000820086,0.000820086
18,463.029,0.79549,0.88214,0.92518,0.93045,0.72304,0.93116,0.76013,0.7319,1.71961,0.85472,0.000843719,0.000843719,0.000843719
19,487.113,0.75397,0.79646,0.91224,0.88915,0.70418,0.90952,0.74346,0.75532,1.83898,0.86943,0.000864522,0.000864522,0.000864522
20,511.653,0.74279,0.80698,0.89151,0.85415,0.8528,0.92215,0.761,0.71839,1.45479,0.87288,0.000882496,0.000882496,0.000882496
21,538.276,0.80145,0.93034,0.92627,0.88789,0.90947,0.93964,0.78079,0.69219,1.32268,0.86975,0.000863116,0.000863116,0.000863116
22,563.713,0.78467,0.78325,0.93861,0.92034,0.91102,0.95284,0.79811,0.69605,1.29928,0.87371,0.000834822,0.000834822,0.000834822
23,589.559,0.746,0.77975,0.92731,0.93215,0.90065,0.95708,0.80275,0.68424,1.23104,0.87626,0.000806528,0.000806528,0.000806528
24,615.252,0.72547,0.8302,0.92723,0.91872,0.88218,0.961,0.80982,0.6619,1.2769,0.86647,0.000778233,0.000778233,0.000778233
25,640.883,0.75458,0.81809,0.91784,0.9487,0.9047,0.96724,0.81568,0.67153,1.12377,0.86538,0.000749939,0.000749939,0.000749939
26,666.509,0.74056,0.77635,0.9165,0.96413,0.96262,0.9759,0.82824,0.66022,0.92547,0.86232,0.000721645,0.000721645,0.000721645
27,692.013,0.716,0.80786,0.91244,0.96972,0.95682,0.97525,0.82468,0.66496,0.80952,0.86565,0.000693351,0.000693351,0.000693351
28,717.313,0.7145,0.70369,0.92104,0.98006,0.95688,0.97601,0.81946,0.66007,0.72122,0.86285,0.000665057,0.000665057,0.000665057
29,742.449,0.72166,0.69063,0.89341,0.97337,0.96669,0.97673,0.82544,0.64819,0.69652,0.86374,0.000636762,0.000636762,0.000636762
30,767.427,0.69368,0.71267,0.90844,0.96969,0.96916,0.97822,0.83905,0.62701,0.68375,0.86188,0.000608468,0.000608468,0.000608468
31,792.042,0.71842,0.67794,0.9086,0.96834,0.97119,0.97923,0.84127,0.62108,0.68587,0.85441,0.000580174,0.000580174,0.000580174
32,816.705,0.72096,0.736,0.92477,0.9771,0.97531,0.98055,0.85498,0.59616,0.7191,0.84451,0.00055188,0.00055188,0.00055188
33,841.4,0.68405,0.70317,0.89362,0.97108,0.97531,0.98109,0.8556,0.58792,0.7179,0.84648,0.000523586,0.000523586,0.000523586
34,866.071,0.6676,0.66935,0.89333,0.95851,0.98649,0.98225,0.85565,0.58706,0.6873,0.84711,0.000495291,0.000495291,0.000495291
35,894.221,0.71187,0.71954,0.9244,0.97521,0.97472,0.983,0.84746,0.60874,0.65919,0.85373,0.000466997,0.000466997,0.000466997
36,923,0.73988,0.6663,0.90253,0.98451,0.9729,0.98354,0.85487,0.58874,0.61972,0.84369,0.000438703,0.000438703,0.000438703
37,949.718,0.73184,0.63832,0.92505,0.98517,0.97343,0.9837,0.85505,0.58744,0.6088,0.83882,0.000410409,0.000410409,0.000410409
38,975.256,0.70813,0.62097,0.9033,0.98648,0.9753,0.98392,0.85804,0.57377,0.59965,0.83739,0.000382115,0.000382115,0.000382115
39,1000.87,0.70216,0.66435,0.91266,0.98785,0.97271,0.98427,0.86003,0.55702,0.59366,0.83866,0.00035382,0.00035382,0.00035382
40,1026.46,0.66189,0.64005,0.88274,0.97694,0.98614,0.98415,0.85591,0.57773,0.60943,0.84352,0.000325526,0.000325526,0.000325526
41,1054.51,0.64228,0.68336,0.87642,0.98808,0.97716,0.98421,0.85626,0.58287,0.6222,0.8409,0.000297232,0.000297232,0.000297232
42,1080.59,0.655,0.6845,0.88365,0.97281,0.98597,0.98459,0.85758,0.58098,0.63738,0.839,0.000268938,0.000268938,0.000268938
43,1110.18,0.66103,0.67998,0.8639,0.97455,0.98557,0.98414,0.85623,0.56851,0.64717,0.83909,0.000240644,0.000240644,0.000240644
44,1138,0.5794,0.68714,0.84395,0.9648,0.97984,0.98262,0.83353,0.61517,0.65051,0.85846,0.000212349,0.000212349,0.000212349
45,1165.5,0.59006,0.66713,0.85114,0.982,0.96467,0.98216,0.82861,0.62403,0.63631,0.86346,0.000184055,0.000184055,0.000184055
46,1192.24,0.61196,0.63685,0.86032,0.98814,0.96284,0.98149,0.8324,0.60527,0.61763,0.85979,0.000155761,0.000155761,0.000155761
47,1219.32,0.58545,0.6544,0.85212,0.99089,0.97159,0.9818,0.83947,0.58867,0.6007,0.85489,0.000127467,0.000127467,0.000127467
48,1252.08,0.57814,0.66239,0.84366,0.98604,0.97859,0.98285,0.84938,0.56638,0.57993,0.84821,9.91726e-05,9.91726e-05,9.91726e-05
49,1280.86,0.60498,0.61619,0.84536,0.99254,0.97627,0.98396,0.85155,0.56033,0.57324,0.8451,7.08784e-05,7.08784e-05,7.08784e-05
50,1308.67,0.60925,0.65478,0.87267,0.99249,0.97698,0.98616,0.85597,0.55557,0.56839,0.84293,4.25842e-05,4.25842e-05,4.25842e-05
